CID,Prize,"Tickets Sold","Close Date",State
10,"Sample Prize One",0,02/07/2020,Active
6,"Tesla Model Y",0,03/07/2020,Draft
15,Playstation,0,03/07/2020,Active
11,"Tesla Model Y",0,03/07/2020,Draft
12,"Prize 04 test edited",0,07/07/2020,Draft
13,"Prize 04 log 04",0,07/07/2020,Active
7,Playstation,0,07/07/2020,Draft
16,"Bowers & Wilkins Wireless Headphones",0,31/07/2020,Active
19,"Prize 0123",0,05/08/2020,Draft
21,Playstation,0,12/08/2020,Draft
17,"Prize 1",0,26/08/2020,Draft
8,"Tesla Model Y",0,27/08/2020,Draft
14,"AT Prize New",0,27/08/2020,Active
18,"Prize 01 log",0,28/08/2020,Draft
